2step/britishgarage	2-Step/British Garage
ampop	AM Pop
aboriginalrock	Aboriginal Rock
acidhouse	Acid House
acidjazz	Acid Jazz
acidrock	Acid Rock
acidtechno	Acid Techno
acousticblues	Acoustic Blues
acousticchicagoblues	Acoustic Chicago Blues
acousticlouisianablues	Acoustic Louisiana Blues
acousticmemphisblues	Acoustic Memphis Blues
acousticneworleansblues	Acoustic New Orleans Blues
acoustictexasblues	Acoustic Texas Blues
adultalternativepop	Adult Alternative Pop
adultalternativepop/rock	Adult Alternative Pop/Rock
adultcontemporary	Adult Contemporary
africanfolk	African Folk
africanjazz	African Jazz
afrobeat	Afro-Beat
afrobrazilian	Afro-Brazilian
afrocuban	Afro-Cuban
afrocubanjazz	Afro-Cuban Jazz
afroperuvian	Afro-Peruvian
afropop	Afro-Pop
albumrock	Album Rock
altcountry	Alt-Country
alternative	Alternative
alternativeccm	Alternative CCM
alternativecountry	Alternative Country
alternativecountryrock	Alternative Country-Rock
alternativedance	Alternative Dance
alternativefolk	Alternative Folk
alternativemetal	Alternative Metal
alternativepop	Alternative Pop
alternativepop/rock	Alternative Pop/Rock
alternativerap	Alternative Rap
alternativesinger/songwriter	Alternative Singer/Songwriter
ambient	Ambient
ambientbreakbeat	Ambient Breakbeat
ambientdub	Ambient Dub
ambienthouse	Ambient House
ambientpop	Ambient Pop
ambienttechno	Ambient Techno
americanpunk	American Punk
americantradrock	American Trad Rock
americanunderground	American Underground
americana	Americana
anarchistpunk	Anarchist Punk
andalusclassical	Andalus Classical
andeanfolk	Andean Folk
antifolk	Anti-Folk
apala	Apala
arenarock	Arena Rock
armenian	Armenian
artrock	Art-Rock
asianfolk	Asian Folk
asianpop	Asian Pop
aussierock	Aussie Rock
australasia	Australasia
avantgardejazz	Avant-Garde Jazz
avantgardemusic	Avant-Garde Music
avantprog	Avant-Prog
bachata	Bachata
bakersfieldsound	Bakersfield Sound
ballet	Ballet
ballroomdance	Ballroom Dance
bandmusic	Band Music
banda	Banda
barband	Bar Band
baroquepop	Baroque Pop
bassmusic	Bass Music
bava	Bava
beach	Beach
beguine	Beguine
beguinemoderne	Beguine Moderne
beguinevide	Beguine Vide
belair	Belair
bellydancing	Belly Dancing
bhangra	Bhangra
bigband	Big Band
bigbeat	Big Beat
bikutsi	Bikutsi
blaxploitation	Blaxploitation
blueeyedsoul	Blue-Eyed Soul
bluebeat	Bluebeat
bluegrass	Bluegrass
bluegrassgospel	Bluegrass-Gospel
blues	Blues
bluesgospel	Blues Gospel
bluesrevival	Blues Revival
bluesrock	Blues-Rock
bolero	Bolero
bollywood	Bollywood
boogaloo	Boogaloo
boogierock	Boogie Rock
boogiewoogie	Boogie-Woogie
bop	Bop
bossanova	Bossa Nova
brazilianfolk	Brazilian Folk
brazilianjazz	Brazilian Jazz
brazilianpop	Brazilian Pop
brillbuildingpop	Brill Building Pop
britishblues	British Blues
britishdancebands	British Dance Bands
britishfolk	British Folk
britishfolkrock	British Folk-Rock
britishinvasion	British Invasion
britishisles	British Isles
britishmetal	British Metal
britishpsychedelia	British Psychedelia
britishpunk	British Punk
britishrap	British Rap
britishtradrock	British Trad Rock
britpop	Britpop
brokenbeat	Broken Beat
browneyedsoul	Brown-Eyed Soul
bubblegum	Bubblegum
bulgarianfolk	Bulgarian Folk
c86	C-86
cadence	Cadence
calypso	Calypso
canterburyscene	Canterbury Scene
caribbean	Caribbean
carnatic	Carnatic
celebrity	Celebrity
celtic	Celtic
celticfolk	Celtic Folk
celticfusion	Celtic Fusion
celticgospel	Celtic Gospel
celticnewage	Celtic New Age
celticpop	Celtic Pop
celticrock	Celtic Rock
centralasia	Central Asia
centraleurope	Central Europe
ceremonial	Ceremonial
chacha	Cha-Cha
chamberjazz	Chamber Jazz
chambermusic	Chamber Music
chamberpop	Chamber Pop
chants	Chants
charanga	Charanga
chassidic	Chassidic
chicagoblues	Chicago Blues
chicagosoul	Chicago Soul
chimurenga	Chimurenga
choral	Choral
chouvalbwa	Chouval Bwa
christianmetal	Christian Metal
christianpunk	Christian Punk
christianrap	Christian Rap
christianrock	Christian Rock
classicfemaleblues	Classic Female Blues
classicjazz	Classic Jazz
classical	Classical
classicalmusic	Classical Music
closeharmony	Close Harmony
club	Club
club/dance	Club/Dance
cocktail	Cocktail
collegerock	College Rock
comedyrap	Comedy Rap
comedyrock	Comedy Rock
compas	Compas
concerto	Concerto
conjunto	Conjunto
contemporarybluegrass	Contemporary Bluegrass
contemporaryblues	Contemporary Blues
contemporaryceltic	Contemporary Celtic
contemporarycountry	Contemporary Country
contemporaryflamenco	Contemporary Flamenco
contemporaryjazz	Contemporary Jazz
contemporarypop	Contemporary Pop
contemporarypop/rock	Contemporary Pop/Rock
contemporaryr&b	Contemporary R&B
contemporaryreggae	Contemporary Reggae
contemporarysinger/songwriter	Contemporary Singer/Songwriter
continentaljazz	Continental Jazz
cool	Cool
corrido	Corrido
country	Country
countryblues	Country Blues
countryboogie	Country Boogie
countrycomedy	Country Comedy
countrygospel	Country Gospel
countrysoul	Country Soul
countryfolk	Country-Folk
countrypop	Country-Pop
countryrock	Country-Rock
cowboy	Cowboy
cowpunk	Cowpunk
crossoverjazz	Crossover Jazz
cuatro	Cuatro
cubanjazz	Cuban Jazz
cubanpop	Cuban Pop
cumbia	Cumbia
dj/toasting	DJ/Toasting
dance	Dance
dancebands	Dance Bands
dancepop	Dance-Pop
dancehall	Dancehall
danzon	Danzon
darkambient	Dark Ambient
deathmetal	Death Metal
deepfunk	Deep Funk
deepfunkrevival	Deep Funk Revival
deepsoul	Deep Soul
deltablues	Delta Blues
detroitblues	Detroit Blues
detroitrock	Detroit Rock
detroittechno	Detroit Techno
dhrupad	Dhrupad
dimotiko	Dimotiko
dirtyblues	Dirty Blues
dirtyrap	Dirty Rap
dirtysouth	Dirty South
disco	Disco
dixieland	Dixieland
djabdong	Djabdong
doowop	Doo Wop
doommetal	Doom Metal
downbeat	Downbeat
downtempo	Downtempo
dreampop	Dream Pop
drill'n'bass	Drill'n'bass
drinkingsongs	Drinking Songs
drum'n'bass	Drum'n'bass
dub	Dub
dubpoetry	Dub Poetry
earlyamericanblues	Early American Blues
earlybritishpop/rock	Early British Pop/Rock
earlyjazz	Early Jazz
earlypop	Early Pop
earlypop/rock	Early Pop/Rock
earlyr&b	Early R&B
eastcoastblues	East Coast Blues
eastcoastrap	East Coast Rap
easterneurope	Eastern Europe
easterneuropeantraditions	Eastern European Traditions
electricblues	Electric Blues
electricchicagoblues	Electric Chicago Blues
electriccountryblues	Electric Country Blues
electricdeltablues	Electric Delta Blues
electricharmonicablues	Electric Harmonica Blues
electricmemphisblues	Electric Memphis Blues
electrictexasblues	Electric Texas Blues
electro	Electro
electroindustrial	Electro-Industrial
electrojazz	Electro-Jazz
electrotechno	Electro-Techno
electronic	Electronic
electronica	Electronica
emo	Emo
